PolicyNumber,TotalPremium
TXFB-101082,3245.23
TXFB-101083,2769.78
TXFB-101084,2953.671887847741
TXFB-101085,1127.7164721633592
TXFB-101086,1290.72
TXFB-101087,1125.58
TXFB-101088,2795.19
TXFB-101089,3343.75
TXFB-101090,2650.51
TXFB-101091,3144.4
TXFB-101092,2416.1
TXFB-101093,1662.98
TXFB-101094,1721.1421608690046
TXFB-101095,725.96
TXFB-101096,594.37
TXFB-101097,2586.43
TXFB-101098,1815.29
TXFB-101099,2156.65
TXFB-101100,2172.98
TXFB-101101,1332.13
TXFB-101102,1927.68
TXFB-101103,1912.28
TXFB-101104,1665.28
TXFB-101105,2962.03
TXFB-101106,1853.49
TXFB-101107,2310.93
TXFB-101108,3134.992454413378
TXFB-101109,3098.7
TXFB-101110,3171.27
TXFB-101111,1310.01
TXFB-101112,604.95
TXFB-101113,1283.2
TXFB-101114,1336.12
TXFB-101115,3228.08
TXFB-101116,2447.73
TXFB-101117,745.11
TXFB-101118,906.14
TXFB-101119,967.03
TXFB-101120,2391.27
TXFB-101121,2706.24
TXFB-101122,3078.93
TXFB-101123,3321.91
TXFB-101124,1105.11
TXFB-101125,1429.32
TXFB-101126,1220.97
TXFB-101127,1576.28
TXFB-101128,3244.0
TXFB-101129,2225.34
TXFB-101130,2714.58
TXFB-101131,1970.36
TXFB-101132,586.57
TXFB-101133,692.59
TXFB-101134,2113.77
TXFB-101135,2656.37
TXFB-101136,1145.99
TXFB-101137,2665.73
TXFB-101138,2932.0
TXFB-101139,1735.69
TXFB-101140,2739.26
TXFB-101141,1712.09
TXFB-101142,2535.05
TXFB-101143,2791.99
TXFB-101144,3475.78
TXFB-101145,1536.19
TXFB-101146,1733.12
TXFB-101147,996.86
TXFB-101148,1112.22
TXFB-101149,2580.19
TXFB-101150,3251.14
TXFB-101151,1683.81
TXFB-101152,1039.53
TXFB-101153,1355.3
TXFB-101154,1865.16
TXFB-101155,1371.95
TXFB-101156,1200.74
TXFB-101157,2707.95
TXFB-101158,523.53
TXFB-101159,2117.69
TXFB-101160,2881.3
TXFB-101161,1298.68
TXFB-101162,2309.87
TXFB-101163,2506.7
TXFB-101164,2465.07
TXFB-101165,1837.55
TXFB-101166,1539.73
TXFB-101167,3007.77
TXFB-101168,2775.34
TXFB-101169,1463.77
TXFB-101170,809.06
TXFB-101171,655.8623860259013
TXFB-101172,782.83
TXFB-101173,2248.61
TXFB-101174,654.99
TXFB-101175,1510.78
TXFB-101176,2759.6
TXFB-101177,1383.04
TXFB-101178,2789.92
TXFB-101179,2736.4
TXFB-101180,1237.48
TXFB-101181,2686.47
TXFB-101182,2743.33
TXFB-101183,1692.36
TXFB-101184,1131.26
TXFB-101185,2063.81
TXFB-101186,3264.19
TXFB-101187,2418.85
TXFB-101188,1018.77
TXFB-101189,2548.27
TXFB-101190,1781.61
TXFB-101191,2274.59
TXFB-101192,2702.19
TXFB-101193,2044.84
TXFB-101194,2941.95
TXFB-101195,2666.47
TXFB-101196,2345.22
TXFB-101197,952.38
TXFB-101198,3007.85
TXFB-101199,3307.72
TXFB-101200,910.9
TXFB-101201,1964.72
TXFB-101202,1276.67
TXFB-101203,2763.57
TXFB-101204,2664.89
TXFB-101205,922.66
TXFB-101206,3131.08
TXFB-101207,1042.92
TXFB-101208,2891.78
TXFB-101209,1870.94
TXFB-101210,1484.82
TXFB-101211,974.72
TXFB-101212,1002.84
TXFB-101213,2485.67
TXFB-101214,2151.29
TXFB-101215,866.26
TXFB-101216,838.09
TXFB-101217,716.93
TXFB-101218,2731.3
TXFB-101219,2635.65
TXFB-101220,675.29
TXFB-101221,2180.81
TXFB-101222,673.6358394037436
TXFB-101223,3211.24
TXFB-101224,3221.35
TXFB-101225,2594.7
TXFB-101226,3278.57
TXFB-101227,2934.36
TXFB-101228,2985.62
TXFB-101229,2209.12
TXFB-101230,1418.18
TXFB-101231,1153.4
TXFB-101232,1481.6
TXFB-101233,2385.49
TXFB-101234,1017.97
TXFB-101235,1275.92
TXFB-101236,1904.18
TXFB-101237,1199.15
TXFB-101238,2265.93
TXFB-101239,3269.53
TXFB-101240,2744.27
TXFB-101241,2499.28
TXFB-101242,2248.16
TXFB-101243,1963.84
TXFB-101244,1059.69
TXFB-101245,3184.13
TXFB-101246,1245.61
TXFB-101247,773.93
TXFB-101248,2750.05
TXFB-101249,1026.85
TXFB-101250,1615.69
TXFB-101251,584.85
TXFB-101252,911.2
TXFB-101253,1019.61
TXFB-101254,663.23
TXFB-101255,2469.97
TXFB-101256,3011.02
TXFB-101257,1619.95
TXFB-101258,3123.73
TXFB-101259,1140.04
TXFB-101260,1476.17
TXFB-101261,952.21
TXFB-101262,2361.68
TXFB-101263,1759.61
TXFB-101264,2339.85
TXFB-101265,2685.631806271042
TXFB-101266,2137.11
TXFB-101267,2382.89
TXFB-101268,3305.75
TXFB-101269,1397.19
TXFB-101270,1577.49
TXFB-101271,2653.11
TXFB-101272,2333.92
TXFB-101273,1035.6
TXFB-101274,1628.44
TXFB-101275,1903.51
TXFB-101276,1758.17
TXFB-101277,1034.82
TXFB-101278,3186.240941623198
TXFB-101279,2786.96
TXFB-101280,1944.07
TXFB-101281,2540.18
TXFB-101282,3191.85
TXFB-101283,908.52
TXFB-101284,1230.8687995456507
TXFB-101285,2128.1
TXFB-101286,2897.03
TXFB-101287,608.76
TXFB-101288,3452.05
TXFB-101289,1864.72
TXFB-101290,1577.69
TXFB-101291,1378.17
TXFB-101292,1023.07
TXFB-101293,2874.72
TXFB-101294,3366.24
TXFB-101295,1740.93
TXFB-101296,3357.26
TXFB-101297,2971.39
TXFB-101298,1881.6755773581347
TXFB-101299,2507.5171731179344
TXFB-101300,1804.95
TXFB-101301,2176.17
TXFB-101302,674.14
TXFB-101303,2588.79
TXFB-101304,658.47
TXFB-101305,2951.25
TXFB-101306,2974.84
TXFB-101307,1211.23
TXFB-101308,1410.0623210934998
TXFB-101309,1943.93
TXFB-101310,2289.99
TXFB-101311,1362.06
TXFB-101312,2277.46
TXFB-101313,1393.36
TXFB-101314,648.941645258415
TXFB-101315,507.58
TXFB-101316,803.45
TXFB-101317,2876.75
TXFB-101318,3384.29
TXFB-101319,1780.9
TXFB-101320,2038.05
TXFB-101321,940.54
TXFB-101322,2153.09
TXFB-101323,933.96
TXFB-101324,2333.64
TXFB-101325,3299.78
TXFB-101326,1087.1
TXFB-101327,2793.69
TXFB-101328,570.51
TXFB-101329,1626.49
TXFB-101330,832.25
TXFB-101331,1557.43
TXFB-101332,1020.61
TXFB-101333,1619.91
TXFB-101334,1752.57
TXFB-101335,1401.77
TXFB-101336,2469.87
TXFB-101337,3256.56
TXFB-101338,1701.79
TXFB-101339,1077.03
TXFB-101340,1312.17
TXFB-101341,3062.0
TXFB-101342,2214.92
TXFB-101343,1865.03
TXFB-101344,948.91
TXFB-101345,1849.18
TXFB-101346,1335.48
TXFB-101347,3329.49
TXFB-101348,3152.21
TXFB-101349,751.71
TXFB-101350,2049.96
TXFB-101351,1175.18
TXFB-101352,1732.33
TXFB-101353,3130.54
TXFB-101354,2082.54
TXFB-101355,1502.65
TXFB-101356,1123.67
TXFB-101357,2900.97
TXFB-101358,2299.377508961735
TXFB-101359,1904.2
TXFB-101360,1152.45
TXFB-101361,1502.74
TXFB-101362,3379.53
TXFB-101363,2060.27
TXFB-101364,1702.1
TXFB-101365,2064.27
TXFB-101366,2836.97
TXFB-101367,1520.33
TXFB-101368,1036.12
TXFB-101369,2254.81
TXFB-101370,2495.61
TXFB-101371,2638.15
TXFB-101372,3145.96
TXFB-101373,1613.52
TXFB-101374,726.06
TXFB-101375,3375.05
TXFB-101376,1805.04
TXFB-101377,2369.77
TXFB-101378,2498.92
TXFB-101379,2139.54
TXFB-101380,1115.77
TXFB-101381,2765.43
TXFB-101382,2911.26
TXFB-101383,2158.93
TXFB-101384,1965.68
TXFB-101385,841.81
TXFB-101386,751.85
TXFB-101387,1518.69
TXFB-101388,1432.54
TXFB-101389,3360.97
TXFB-101390,2850.87
TXFB-101391,2479.77
TXFB-101392,2052.94
TXFB-101393,1002.1
TXFB-101394,3435.37
TXFB-101395,1625.12
TXFB-101396,820.78
TXFB-101397,1981.4
TXFB-101398,3121.99
TXFB-101399,3161.87
TXFB-101400,532.9
TXFB-101401,3158.89
TXFB-101402,1314.45
TXFB-101403,616.92
TXFB-101404,3043.37
TXFB-101405,3091.6
TXFB-101406,2288.69
TXFB-101407,2223.3
TXFB-101408,2939.36
TXFB-101409,2858.93
TXFB-101410,3170.32
TXFB-101411,2158.24
TXFB-101412,3402.94
TXFB-101413,3488.44
TXFB-101414,849.63
TXFB-101415,3048.63
TXFB-101416,1999.47
TXFB-101417,1662.7
TXFB-101418,2339.22
TXFB-101419,667.9
TXFB-101420,2019.38
TXFB-101421,3112.67
TXFB-101422,1140.38
TXFB-101423,1779.17
TXFB-101424,3318.44
TXFB-101425,1785.69
TXFB-101426,1575.1
TXFB-101427,1821.61
TXFB-101428,2058.36
TXFB-101429,2395.97
TXFB-101430,2902.08
TXFB-101431,1856.31
TXFB-101432,2952.44
TXFB-101433,2101.16
TXFB-101434,1515.44
TXFB-101435,2473.85
TXFB-101436,2653.17
TXFB-101437,2174.15
TXFB-101438,669.84
TXFB-101439,1009.65
TXFB-101440,1355.89
TXFB-101441,1276.2372554546898
TXFB-101442,2520.26
TXFB-101443,555.05
TXFB-101444,2767.05
TXFB-101445,1296.03
TXFB-101446,1430.07
TXFB-101447,2083.73
TXFB-101448,1147.78
TXFB-101449,3153.41
TXFB-101450,756.11
TXFB-101451,1803.124655800744
TXFB-101452,3048.27
TXFB-101453,2347.53
TXFB-101454,1376.99
TXFB-101455,1762.28
TXFB-101456,2620.08
TXFB-101457,3404.343707825612
TXFB-101458,3179.42
TXFB-101459,1527.3
TXFB-101460,3494.59
TXFB-101461,510.51
TXFB-101462,582.89
TXFB-101463,2971.52
TXFB-101464,1098.39
TXFB-101465,682.31
TXFB-101466,1211.44
TXFB-101467,1778.3
TXFB-101468,2691.7
TXFB-101469,2373.01
TXFB-101470,1212.86
TXFB-101471,2009.81
TXFB-101472,3278.64
TXFB-101473,2945.02
TXFB-101474,1469.57
TXFB-101475,3446.79
TXFB-101476,2625.86
TXFB-101477,687.35
TXFB-101478,605.48
TXFB-101479,1005.22
TXFB-101480,2683.57
TXFB-101481,1051.22
TXFB-101482,2034.46
TXFB-101483,779.78
TXFB-101484,3262.66
TXFB-101485,1531.88
TXFB-101486,3224.4
TXFB-101487,3334.63
TXFB-101488,518.39
TXFB-101489,1892.41
TXFB-101490,573.97
TXFB-101491,3226.08
TXFB-101492,2055.22
TXFB-101493,724.83
TXFB-101494,830.83
TXFB-101495,1650.53
TXFB-101496,3320.7
TXFB-101497,2578.73
TXFB-101498,3102.86
TXFB-101499,1599.37
TXFB-101500,629.64
TXFB-101501,3422.95
TXFB-101502,551.52
TXFB-101503,3342.95
TXFB-101504,1606.03
TXFB-101505,530.27
TXFB-101506,2567.47
TXFB-101507,3441.62
TXFB-101508,3396.88
TXFB-101509,982.81
TXFB-101510,947.6621286529378
TXFB-101511,2196.62
TXFB-101512,2411.91
TXFB-101513,2718.25
TXFB-101514,979.3666413510831
TXFB-101515,3377.02
TXFB-101516,2416.22
TXFB-101517,3041.14
TXFB-101518,2120.2
TXFB-101519,1742.83
TXFB-101520,3431.55
TXFB-101521,2246.36
TXFB-101522,3100.62
TXFB-101523,3359.88
TXFB-101524,2526.06
TXFB-101525,2146.82
TXFB-101526,510.53
TXFB-101527,620.06
TXFB-101528,1102.55
TXFB-101529,1058.03
TXFB-101530,1264.28
TXFB-101531,1414.8
TXFB-101532,1580.2
TXFB-101533,1761.61
TXFB-101534,796.6
TXFB-101535,627.09
TXFB-101536,2521.83
TXFB-101537,2112.0
TXFB-101538,1832.43
TXFB-101539,2403.32
TXFB-101540,2983.04
TXFB-101541,1783.08
TXFB-101542,2423.36
TXFB-101543,3360.72
TXFB-101544,3018.87
TXFB-101545,1778.0
TXFB-101546,2434.15
TXFB-101547,1031.21
TXFB-101548,2181.57
TXFB-101549,3443.98
TXFB-101550,2054.95
TXFB-101551,3282.91
TXFB-101552,1692.000599522392
TXFB-101553,3496.53
TXFB-101554,2237.66
TXFB-101555,626.81
TXFB-101556,2200.652239520436
TXFB-101557,1323.72
TXFB-101558,597.44
TXFB-101559,2962.56
TXFB-101560,1232.9420227839078
TXFB-101561,2889.65
TXFB-101562,1364.65
TXFB-101563,1082.98
TXFB-101564,3421.81
TXFB-101565,1584.94
TXFB-101566,2304.13
TXFB-101567,2329.94
TXFB-101568,2181.42
TXFB-101569,3244.09
TXFB-101570,2442.6106836229865
TXFB-101571,1711.2
TXFB-101572,3087.14
TXFB-101573,1043.19
TXFB-101574,2132.71
TXFB-101575,3351.65
TXFB-101576,2376.19
TXFB-101577,2950.91
TXFB-101578,2460.68
TXFB-101579,3018.11
TXFB-101580,3333.46
TXFB-101581,1318.77
TXFB-101582,1008.98
TXFB-101583,1951.97
TXFB-101584,2605.59
TXFB-101585,1181.57
TXFB-101586,512.3
TXFB-101587,1528.81
TXFB-101588,3406.58
TXFB-101589,2584.9
TXFB-101590,1703.98
TXFB-101591,1077.73
TXFB-101592,1568.27
TXFB-101593,1009.52
TXFB-101594,818.92
TXFB-101595,3220.23
TXFB-101596,3492.95
TXFB-101597,992.34
TXFB-101598,663.57
TXFB-101599,1489.19
TXFB-101600,1845.5722077856808
TXFB-101601,1114.46
TXFB-101602,1404.27
TXFB-101603,1102.61
TXFB-101604,2822.78
TXFB-101605,2637.73
TXFB-101606,2404.85
TXFB-101607,1661.65
TXFB-101608,3227.12
TXFB-101609,3408.6
TXFB-101610,1020.92
TXFB-101611,1169.04
TXFB-101612,2076.89
TXFB-101613,773.75
TXFB-101614,1809.35
TXFB-101615,2245.37
TXFB-101616,2066.22
TXFB-101617,1492.73
TXFB-101618,2127.34
TXFB-101619,3376.4
TXFB-101620,1118.05
TXFB-101621,2464.49
TXFB-101622,630.19
TXFB-101623,699.25
TXFB-101624,2155.48
TXFB-101625,814.82
TXFB-101626,567.04
TXFB-101627,1014.54
TXFB-101628,2194.55
TXFB-101629,2610.02
TXFB-101630,1107.44
TXFB-101631,2504.78
TXFB-101632,1047.43
TXFB-101633,2340.37
TXFB-101634,1735.88
TXFB-101635,2461.4
TXFB-101636,3485.16
TXFB-101637,3313.45
TXFB-101638,512.85
TXFB-101639,3156.32
TXFB-101640,699.47
TXFB-101641,3359.14
TXFB-101642,1345.48
TXFB-101643,1646.1
TXFB-101644,774.91
TXFB-101645,836.82
TXFB-101646,2680.22
TXFB-101647,3333.0
TXFB-101648,2332.25
TXFB-101649,2647.55
TXFB-101650,2785.91
TXFB-101651,1288.44
TXFB-101652,635.69
TXFB-101653,505.62
TXFB-101654,1551.95
TXFB-101655,1224.39
TXFB-101656,686.95
TXFB-101657,1038.58
TXFB-101658,873.5
TXFB-101659,3244.64
TXFB-101660,833.3731804151535
TXFB-101661,2112.95
TXFB-101662,2279.32
TXFB-101663,2130.47
TXFB-101664,797.17
TXFB-101665,1456.4
TXFB-101666,653.81
TXFB-101667,1687.01
TXFB-101668,1065.8
TXFB-101669,2184.9
TXFB-101670,2578.43
TXFB-101671,2096.36
TXFB-101672,1802.71
TXFB-101673,1662.0
TXFB-101674,3025.08
TXFB-101675,1158.1
TXFB-101676,2702.66
TXFB-101677,2772.45
TXFB-101678,1757.6
TXFB-101679,1391.9
TXFB-101680,1911.62
TXFB-101681,779.64
TXFB-101682,637.79
TXFB-101683,834.81
TXFB-101684,1061.44
TXFB-101685,2012.53
TXFB-101686,3047.41
TXFB-101687,1206.93
TXFB-101688,3305.49
TXFB-101689,3364.72
TXFB-101690,3376.71
TXFB-101691,3012.69
TXFB-101692,1591.48
TXFB-101693,718.05
TXFB-101694,2206.46
TXFB-101695,2176.04
TXFB-101696,3049.93
TXFB-101697,3487.97
TXFB-101698,2024.47
TXFB-101699,1535.61
TXFB-101700,1057.71
TXFB-101701,514.4
TXFB-101702,2027.34
TXFB-101703,2166.56
TXFB-101704,2974.82
TXFB-101705,2013.73
TXFB-101706,3249.41
TXFB-101707,2384.25
TXFB-101708,3021.01
TXFB-101709,944.91
TXFB-101710,3066.01
TXFB-101711,2525.43
TXFB-101712,1010.7
TXFB-101713,1069.29
TXFB-101714,3279.5
TXFB-101715,596.65
TXFB-101716,1887.6
TXFB-101717,1440.43
TXFB-101718,2495.23
TXFB-101719,3018.89
TXFB-101720,1581.13
TXFB-101721,1780.71
TXFB-101722,3445.75
TXFB-101723,2851.75
TXFB-101724,3191.61
TXFB-101725,1816.29
TXFB-101726,1202.23
TXFB-101727,1735.59
TXFB-101728,2648.28
TXFB-101729,828.29
TXFB-101730,1311.41
TXFB-101731,639.91
TXFB-101732,1797.04
TXFB-101733,2982.34
TXFB-101734,573.99
TXFB-101735,2525.97
TXFB-101736,3297.49
TXFB-101737,1210.78
TXFB-101738,2580.9
TXFB-101739,3425.31
TXFB-101740,3386.83
TXFB-101741,1204.79
TXFB-101742,800.99
TXFB-101743,944.85
TXFB-101744,2606.11
TXFB-101745,2677.28
TXFB-101746,2522.71
TXFB-101747,1508.24
TXFB-101748,1009.33
TXFB-101749,2242.28
TXFB-101750,1951.04
TXFB-101751,2686.5
TXFB-101752,1824.08
TXFB-101753,1515.92
TXFB-101754,1380.44
TXFB-101755,1134.41
TXFB-101756,1297.24
TXFB-101757,784.49
TXFB-101758,1540.57
TXFB-101759,609.71
TXFB-101760,1059.24
TXFB-101761,2740.31
TXFB-101762,1476.41
TXFB-101763,2504.71
TXFB-101764,2650.65
TXFB-101765,2243.56
TXFB-101766,3376.09
TXFB-101767,564.32
TXFB-101768,2715.96
TXFB-101769,3376.36
TXFB-101770,3086.82
TXFB-101771,1003.68
TXFB-101772,1480.46
TXFB-101773,1017.36
TXFB-101774,2303.93
TXFB-101775,2636.56
TXFB-101776,1451.22
TXFB-101777,2118.52
TXFB-101778,2572.76
TXFB-101779,1764.02
TXFB-101780,3062.05
TXFB-101781,2814.65
TXFB-101782,694.0
TXFB-101783,2363.38
TXFB-101784,1205.98
TXFB-101785,2172.55
TXFB-101786,3370.67
TXFB-101787,3137.19
TXFB-101788,1713.55
TXFB-101789,1374.54
TXFB-101790,1203.22
TXFB-101791,2097.54
TXFB-101792,842.75
TXFB-101793,2147.83
TXFB-101794,504.0
TXFB-101795,1471.55
TXFB-101796,1159.8
TXFB-101797,3413.66
TXFB-101798,2681.73
TXFB-101799,1548.96
TXFB-101800,778.54
TXFB-101801,2050.4
TXFB-101802,1140.34
TXFB-101803,2109.29
TXFB-101804,3006.09
TXFB-101805,2347.38
TXFB-101806,2401.37
TXFB-101807,2123.09
TXFB-101808,3281.8
TXFB-101809,3295.71
TXFB-101810,2038.17
TXFB-101811,1417.28
TXFB-101812,1878.76
TXFB-101813,1059.67
TXFB-101814,2409.03
TXFB-101815,2000.28
TXFB-101816,809.9
TXFB-101817,1092.94
TXFB-101818,1938.9
TXFB-101819,3162.77
TXFB-101820,2199.17
TXFB-101821,2544.61
TXFB-101822,1517.09
TXFB-101823,2214.23
TXFB-101824,1842.14
TXFB-101825,2477.39
TXFB-101826,651.73
TXFB-101827,1979.9
TXFB-101828,1387.98
TXFB-101829,1478.56
TXFB-101830,3382.75
TXFB-101831,1048.08
TXFB-101832,1433.74
TXFB-101833,2029.68
TXFB-101834,3089.08
TXFB-101835,1750.01
TXFB-101836,2731.6
TXFB-101837,3069.12
TXFB-101838,1430.05
TXFB-101839,1678.25
TXFB-101840,1569.67
TXFB-101841,2998.57
TXFB-101842,633.04
TXFB-101843,1425.26
TXFB-101844,2538.23
TXFB-101845,2196.33
TXFB-101846,1808.87
TXFB-101847,2119.84
TXFB-101848,1092.75
TXFB-101849,1792.15
TXFB-101850,2005.11
TXFB-101851,3203.57
TXFB-101852,1282.51
TXFB-101853,3020.55381100596
TXFB-101854,2432.72
TXFB-101855,561.02
TXFB-101856,2673.89
TXFB-101857,606.66
TXFB-101858,3492.14
TXFB-101859,3117.91
TXFB-101860,1392.03
TXFB-101861,1272.23
TXFB-101862,1644.32
TXFB-101863,1568.5
TXFB-101864,1617.01
TXFB-101865,1454.83
TXFB-101866,2309.8478688073933
TXFB-101867,992.79
TXFB-101868,3037.94
TXFB-101869,2937.21
TXFB-101870,1929.45
TXFB-101871,3058.19
TXFB-101872,1241.44
TXFB-101873,552.7
TXFB-101874,2357.62
TXFB-101875,1873.73
TXFB-101876,2201.49
TXFB-101877,3198.02
TXFB-101878,3409.78
TXFB-101879,2403.36
TXFB-101880,2792.17
TXFB-101881,751.43
TXFB-101882,982.15
TXFB-101883,2699.61
TXFB-101884,1794.1
TXFB-101885,1837.9
TXFB-101886,1425.82
TXFB-101887,2322.07
TXFB-101888,1055.5
TXFB-101889,2380.75
TXFB-101890,1021.4
TXFB-101891,691.48
TXFB-101892,1491.07
TXFB-101893,1193.42
TXFB-101894,3166.97
TXFB-101895,664.86
TXFB-101896,1029.84
TXFB-101897,2146.16
TXFB-101898,1943.2
TXFB-101899,637.56
TXFB-101900,521.76
TXFB-101901,3464.2
TXFB-101902,2476.5
TXFB-101903,1537.9999825497403
TXFB-101904,1911.3
TXFB-101905,1299.65
TXFB-101906,1534.62
TXFB-101907,2447.13
TXFB-101908,3148.44
TXFB-101909,1052.39
TXFB-101910,3021.08
TXFB-101911,864.67
TXFB-101912,1144.98
TXFB-101913,611.53
TXFB-101914,922.44
TXFB-101915,3251.91
TXFB-101916,1878.32
TXFB-101917,733.0
TXFB-101918,3379.18
TXFB-101919,3136.98
TXFB-101920,2764.05
TXFB-101921,3300.42
TXFB-101922,1160.39
TXFB-101923,3009.11
TXFB-101924,2569.97
TXFB-101925,3109.28
TXFB-101926,2890.73
TXFB-101927,1539.49
TXFB-101928,2823.2
TXFB-101929,1287.37
TXFB-101930,1485.78
TXFB-101931,823.72
TXFB-101932,3305.23
TXFB-101933,1373.01
TXFB-101934,2061.87
TXFB-101935,1674.0
TXFB-101936,3379.78
TXFB-101937,1505.15
TXFB-101938,2835.64
TXFB-101939,3066.25
TXFB-101940,1806.82
TXFB-101941,1634.52
TXFB-101942,2658.8108486981573
TXFB-101943,3238.69
TXFB-101944,2764.8
TXFB-101945,1181.38
TXFB-101946,3164.92
TXFB-101947,1662.75
TXFB-101948,2228.69
TXFB-101949,2994.31
TXFB-101950,1065.18
TXFB-101951,2853.53
TXFB-101952,2288.49
TXFB-101953,3180.02
TXFB-101954,1015.91
TXFB-101955,1762.05
TXFB-101956,2998.53
TXFB-101957,557.7
TXFB-101958,836.6
TXFB-101959,3471.7
TXFB-101960,1263.1353388208784
TXFB-101961,3426.63
TXFB-101962,1047.59
TXFB-101963,1583.28
TXFB-101964,2758.61
TXFB-101965,2473.34
TXFB-101966,2243.37
TXFB-101967,2089.7
TXFB-101968,3030.32
TXFB-101969,1204.85
TXFB-101970,1827.41
TXFB-101971,966.36
TXFB-101972,2210.1850945736865
TXFB-101973,1251.63
TXFB-101974,1501.53
TXFB-101975,1913.75
TXFB-101976,580.31
TXFB-101977,775.81
TXFB-101978,2557.79
TXFB-101979,1786.91
TXFB-101980,3094.37
TXFB-101981,2584.02
TXFB-101982,524.3
TXFB-101983,2350.14
TXFB-101984,781.17
TXFB-101985,2842.8
TXFB-101986,3474.52
TXFB-101987,2093.6
TXFB-101988,2548.34
TXFB-101989,1211.94
TXFB-101990,1812.79
TXFB-101991,3068.29
TXFB-101992,1002.27
TXFB-101993,1296.61
TXFB-101994,1836.3
TXFB-101995,2636.75
TXFB-101996,1588.7654050072808
TXFB-101997,3283.2
TXFB-101998,783.37
TXFB-101999,1612.41
TXFB-102000,2626.86
TXFB-102001,1177.96
TXFB-102002,2469.24
TXFB-102003,992.65
TXFB-102004,667.94
TXFB-102005,863.05
TXFB-102006,3289.95
TXFB-102007,2155.25
TXFB-102008,2889.04
TXFB-102009,1497.96
TXFB-102010,2277.98
TXFB-102011,1984.86
TXFB-102012,3337.21
TXFB-102013,2742.72
TXFB-102014,2691.63
TXFB-102015,639.06
TXFB-102016,2149.01
TXFB-102017,1900.97
TXFB-102018,3283.53
TXFB-102019,1272.03
TXFB-102020,1309.5
TXFB-102021,1734.04
TXFB-102022,1150.3845605984436
TXFB-102023,887.55
TXFB-102024,3072.24
TXFB-102025,2174.83
TXFB-102026,3084.09
TXFB-102027,2993.4
TXFB-102028,1346.13
TXFB-102029,2143.21
TXFB-102030,749.65
TXFB-102031,3245.76
TXFB-102032,1712.79
TXFB-102033,1681.03
TXFB-102034,1408.27
TXFB-102035,1881.99
TXFB-102036,1255.28
TXFB-102037,1624.56
TXFB-102038,2899.84
TXFB-102039,3002.77
TXFB-102040,1412.55
TXFB-102041,1907.04
TXFB-102042,3121.46
TXFB-102043,658.02
TXFB-102044,3167.43
TXFB-102045,1146.2991260399735
TXFB-102046,2535.62
TXFB-102047,2247.66
TXFB-102048,2158.82
TXFB-102049,3078.08
TXFB-102050,804.72
TXFB-102051,1541.08
TXFB-102052,2114.76
TXFB-102053,2933.87
TXFB-102054,1149.33
TXFB-102055,2908.79
TXFB-102056,1698.92
TXFB-102057,1066.74
TXFB-102058,2776.96
TXFB-102059,772.7
TXFB-102060,2044.3
TXFB-102061,691.63
TXFB-102062,1502.366080156794
TXFB-102063,2303.23
TXFB-102064,2168.35
TXFB-102065,1713.97
TXFB-102066,1787.14
TXFB-102067,1180.31
TXFB-102068,1867.65
TXFB-102069,3359.76
TXFB-102070,3051.36
TXFB-102071,935.7
TXFB-102072,589.34
TXFB-102073,3300.57
TXFB-102074,2080.25
TXFB-102075,2113.51
TXFB-102076,2842.15
TXFB-102077,1444.07
TXFB-102078,1945.72
TXFB-102079,3405.99
TXFB-102080,2516.45
TXFB-102081,961.24
TXFB-102082,899.68
TXFB-102083,1112.79
TXFB-102084,2800.14
TXFB-102085,1386.13
TXFB-102086,564.17
TXFB-102087,3332.52
TXFB-102088,1009.14
TXFB-102089,528.67
TXFB-102090,1211.39
TXFB-102091,1205.09
TXFB-102092,1766.02
TXFB-102093,3261.17
TXFB-102094,3137.55
TXFB-102095,1870.68
TXFB-102096,1732.7
TXFB-102097,2165.03
TXFB-102098,1230.36
TXFB-102099,656.55
TXFB-102100,3317.67
TXFB-102101,1060.1
TXFB-102102,1095.2
TXFB-102103,1917.38
TXFB-102104,1974.84
TXFB-102105,555.3
TXFB-102106,943.86
TXFB-102107,1634.46
TXFB-102108,2551.19
TXFB-102109,1185.26
TXFB-102110,1769.04
TXFB-102111,2172.04
TXFB-102112,3165.78
TXFB-102113,1478.21
TXFB-102114,900.67
TXFB-102115,1967.82
TXFB-102116,2740.16
TXFB-102117,829.58
TXFB-102118,1774.05
TXFB-102119,553.36
TXFB-102120,600.68
TXFB-102121,1948.86
TXFB-102122,1394.59
TXFB-102123,3035.32
TXFB-102124,2306.46
TXFB-102125,1861.8
TXFB-102126,1723.81
TXFB-102127,1991.74
TXFB-102128,621.32
TXFB-102129,3178.38
TXFB-102130,3494.91
TXFB-102131,1044.46
TXFB-102132,861.15
TXFB-102133,930.73
TXFB-102134,2483.08
TXFB-102135,2484.32
TXFB-102136,3043.77
TXFB-102137,2755.48
TXFB-102138,1849.07
TXFB-102139,2338.57
TXFB-102140,2564.85
TXFB-102141,2038.21
TXFB-102142,1926.95
TXFB-102143,2435.29
TXFB-102144,2172.42
TXFB-102145,2431.83
TXFB-102146,2338.56
TXFB-102147,2657.59
TXFB-102148,2428.41
TXFB-102149,2059.23
TXFB-102150,2529.592281266886
TXFB-102151,1848.45
TXFB-102152,1225.01
TXFB-102153,504.25
TXFB-102154,2179.89
TXFB-102155,2271.97
TXFB-102156,3416.15
TXFB-102157,1584.44
TXFB-102158,1682.4
TXFB-102159,1105.4
